item_code,item_name
SA0,All items
SAF,Food and beverages
SAH,Housing
SAM,Medical care
SAR,Recreation
SAA,Apparel
SAT,Transportation
SAE,Education and communication
SAG,Other goods and services
SA0E,Energy
SA0L1,All items less food
SA0L12,All items less food and shelter
SA0L12E,All items less food shelter and energy
SA0L12E4,All items less food shelter energy and used cars and trucks
SA0L1E,All items less food and energy
SA0L2,All items less shelter
SA0L5,All items less medical care
SA0LE,All items less energy
SA311,Apparel less footwear
SAA1,Men's and boys' apparel
SAA2,Women's and girls' apparel
SAC,Commodities
SACE,Energy commodities
SACL1,Commodities less food
SACL11,Commodities less food and beverages
SACL1E,Commodities less food and energy commodities
SACL1E4,Commodities less food energy and used cars and trucks
SAD,Durables
SAE1,Education
SAE2,Communication
SAEC,Education and communication commodities
SAES,Education and communication services
SAF1,Food
SAG1,Personal care
SAGC,Other goods
SAGS,Other personal services
SAH1,Shelter
SAH2,Fuels and utilities
SAH3,Household furnishings and operations
SAH31,Household furnishings and supplies
SAM1,Medical care commodities
SAM2,Medical care services
SAN,Nondurables
SAN1D,Domestically produced farm food
SANL1,Nondurables less food
SANL11,Nondurables less food and beverages
SANL113,Nondurables less food beverages and apparel
SANL13,Nondurables less food and apparel
SARC,Recreation commodities
SARS,Recreation services
SAS,Services
SAS24,Utilities and public transportation
SAS2RS,Rent of shelter
SAS367,Other services
SAS4,Transportation services
SASL2RS,Services less rent of shelter
SASL5,Services less medical care services
SASLE,Services less energy services
SAT1,Private transportation
SATCLTB,Transportation commodities less motor fuel
SEAE,Footwear
SEAF,Infants' and toddlers' apparel
SEAG,Jewelry and watches
SEEEC,Information technology commodities
SEGA,Tobacco and smoking products
SERA,Video and audio
SERAC,Video and audio products
SERAS,Video and audio services
SERB,Pets pet products and services
SERC,Sporting goods
SERD,Photography
SERE,Other recreational goods
SERF,Other recreation services
SERG,Recreational reading materials
SETG,Public transportation
SAE21,Information and information processing
SAF11,Food at home
SAF116,Alcoholic beverages
SAH21,Household energy
SEAA,Men's apparel
SEAB,Boys' apparel
SEAC,Women's apparel
SEAD,Girls' apparel
SEAE01,Men's footwear
SEAE02,Boys' and girls' footwear
SEAE03,Women's footwear
SEAG01,Watches
SEAG02,Jewelry
SEEA,Educational books and supplies
SEEB,Tuition other school fees and childcare
SEEC,Postage and delivery services
SEEE,Information technology hardware and services
SEFV,Food away from home
SEGB,Personal care products
SEGC,Personal care services
SEGD,Miscellaneous personal services
SEGE,Miscellaneous personal goods
SEHA,Rent of primary residence
SEHB,Lodging away from home
SEHC,Owners' equivalent rent of residences
SEHD,Tenants' and household insurance
SEHG,Water and sewer and trash collection services
SEHH,Window and floor coverings and other linens
SEHJ,Furniture and bedding
SEHK,Appliances
SEHL,Other household equipment and furnishings
SEHM,Tools hardware outdoor equipment and supplies
SEHN,Housekeeping supplies
SEHP,Household operations
SEMC,Professional services
SEMD,Hospital and related services
SEME,Health insurance
SEMF,Medicinal drugs
SEMG,Medical equipment and supplies
SERA01,Televisions
SERA02,Cable satellite and live streaming television service
SERA03,Other video equipment
SERA04,Purchase subscription and rental of video
SERA05,Audio equipment
SERA06,Recorded music and music subscriptions
SERB01,Pets and pet products
SERB02,Pet services including veterinary
SERC01,Sports vehicles including bicycles
SERC02,Sports equipment
SERD01,Photographic equipment and supplies
SERD02,Photographers and photo processing
SERE01,Toys
SERE02,Sewing machines fabric and supplies
SERE03,Music instruments and accessories
SERF01,Club membership for shopping clubs fraternal or other organizations or participant sports fees
SERF02,Admissions
SERF03,Fees for lessons or instructions
SERG01,Newspapers and magazines
SERG02,Recreational books
SETA,New and used motor vehicles
SETB,Motor fuel
SETC,Motor vehicle parts and equipment
SETD,Motor vehicle maintenance and repair
SETE,Motor vehicle insurance
SETF,Motor vehicle fees
SETG01,Airline fares
SETG02,Other intercity transportation
SETG03,Intracity transportation
