date,series_id,category_zh,category_en,value,period,footnotes
1998-01,CUUR0000SEMD01,医院服务,Hospital services,103.5,M01,
1998-02,CUUR0000SEMD01,医院服务,Hospital services,104.1,M02,
1998-03,CUUR0000SEMD01,医院服务,Hospital services,104.1,M03,
1998-04,CUUR0000SEMD01,医院服务,Hospital services,104.3,M04,
1998-05,CUUR0000SEMD01,医院服务,Hospital services,104.2,M05,
1998-06,CUUR0000SEMD01,医院服务,Hospital services,104.3,M06,
1998-07,CUUR0000SEMD01,医院服务,Hospital services,105.2,M07,
1998-08,CUUR0000SEMD01,医院服务,Hospital services,105.7,M08,
1998-09,CUUR0000SEMD01,医院服务,Hospital services,105.5,M09,
1998-10,CUUR0000SEMD01,医院服务,Hospital services,105.9,M10,
1998-11,CUUR0000SEMD01,医院服务,Hospital services,106.2,M11,
1998-12,CUUR0000SEMD01,医院服务,Hospital services,106.4,M12,
1999-01,CUUR0000SEMD01,医院服务,Hospital services,107.5,M01,
1999-02,CUUR0000SEMD01,医院服务,Hospital services,108.1,M02,
1999-03,CUUR0000SEMD01,医院服务,Hospital services,108.3,M03,
1999-04,CUUR0000SEMD01,医院服务,Hospital services,108.1,M04,
1999-05,CUUR0000SEMD01,医院服务,Hospital services,108.4,M05,
1999-06,CUUR0000SEMD01,医院服务,Hospital services,108.6,M06,
1999-07,CUUR0000SEMD01,医院服务,Hospital services,109.3,M07,
1999-08,CUUR0000SEMD01,医院服务,Hospital services,110.0,M08,
1999-09,CUUR0000SEMD01,医院服务,Hospital services,110.3,M09,
1999-10,CUUR0000SEMD01,医院服务,Hospital services,110.6,M10,
1999-11,CUUR0000SEMD01,医院服务,Hospital services,110.9,M11,
1999-12,CUUR0000SEMD01,医院服务,Hospital services,111.8,M12,
2000-01,CUUR0000SEMD01,医院服务,Hospital services,112.6,M01,
2000-02,CUUR0000SEMD01,医院服务,Hospital services,113.4,M02,
2000-03,CUUR0000SEMD01,医院服务,Hospital services,113.8,M03,
2000-04,CUUR0000SEMD01,医院服务,Hospital services,114.2,M04,
2000-05,CUUR0000SEMD01,医院服务,Hospital services,114.5,M05,
2000-06,CUUR0000SEMD01,医院服务,Hospital services,115.2,M06,
2000-07,CUUR0000SEMD01,医院服务,Hospital services,116.2,M07,
2000-08,CUUR0000SEMD01,医院服务,Hospital services,117.3,M08,
2000-09,CUUR0000SEMD01,医院服务,Hospital services,117.8,M09,
2000-10,CUUR0000SEMD01,医院服务,Hospital services,118.2,M10,
2000-11,CUUR0000SEMD01,医院服务,Hospital services,118.6,M11,
2000-12,CUUR0000SEMD01,医院服务,Hospital services,118.8,M12,
2001-01,CUUR0000SEMD01,医院服务,Hospital services,120.0,M01,
2001-02,CUUR0000SEMD01,医院服务,Hospital services,120.9,M02,
2001-03,CUUR0000SEMD01,医院服务,Hospital services,121.6,M03,
2001-04,CUUR0000SEMD01,医院服务,Hospital services,121.9,M04,
2001-05,CUUR0000SEMD01,医院服务,Hospital services,122.5,M05,
2001-06,CUUR0000SEMD01,医院服务,Hospital services,123.0,M06,
2001-07,CUUR0000SEMD01,医院服务,Hospital services,123.5,M07,
2001-08,CUUR0000SEMD01,医院服务,Hospital services,124.7,M08,
2001-09,CUUR0000SEMD01,医院服务,Hospital services,125.2,M09,
2001-10,CUUR0000SEMD01,医院服务,Hospital services,126.0,M10,
2001-11,CUUR0000SEMD01,医院服务,Hospital services,126.9,M11,
2001-12,CUUR0000SEMD01,医院服务,Hospital services,127.4,M12,
2002-01,CUUR0000SEMD01,医院服务,Hospital services,129.2,M01,
2002-02,CUUR0000SEMD01,医院服务,Hospital services,130.4,M02,
2002-03,CUUR0000SEMD01,医院服务,Hospital services,131.5,M03,
2002-04,CUUR0000SEMD01,医院服务,Hospital services,132.7,M04,
2002-05,CUUR0000SEMD01,医院服务,Hospital services,133.5,M05,
2002-06,CUUR0000SEMD01,医院服务,Hospital services,133.7,M06,
2002-07,CUUR0000SEMD01,医院服务,Hospital services,134.6,M07,
2002-08,CUUR0000SEMD01,医院服务,Hospital services,136.0,M08,
2002-09,CUUR0000SEMD01,医院服务,Hospital services,136.7,M09,
2002-10,CUUR0000SEMD01,医院服务,Hospital services,138.1,M10,
2002-11,CUUR0000SEMD01,医院服务,Hospital services,139.6,M11,
2002-12,CUUR0000SEMD01,医院服务,Hospital services,140.3,M12,
2003-01,CUUR0000SEMD01,医院服务,Hospital services,141.4,M01,
2003-02,CUUR0000SEMD01,医院服务,Hospital services,142.3,M02,
2003-03,CUUR0000SEMD01,医院服务,Hospital services,142.5,M03,
2003-04,CUUR0000SEMD01,医院服务,Hospital services,142.4,M04,
2003-05,CUUR0000SEMD01,医院服务,Hospital services,142.4,M05,
2003-06,CUUR0000SEMD01,医院服务,Hospital services,143.6,M06,
2003-07,CUUR0000SEMD01,医院服务,Hospital services,144.7,M07,
2003-08,CUUR0000SEMD01,医院服务,Hospital services,145.9,M08,
2003-09,CUUR0000SEMD01,医院服务,Hospital services,146.5,M09,
2003-10,CUUR0000SEMD01,医院服务,Hospital services,146.9,M10,
2003-11,CUUR0000SEMD01,医院服务,Hospital services,148.8,M11,
2003-12,CUUR0000SEMD01,医院服务,Hospital services,149.3,M12,
2004-01,CUUR0000SEMD01,医院服务,Hospital services,150.3,M01,
2004-02,CUUR0000SEMD01,医院服务,Hospital services,151.4,M02,
2004-03,CUUR0000SEMD01,医院服务,Hospital services,151.8,M03,
2004-04,CUUR0000SEMD01,医院服务,Hospital services,151.8,M04,
2004-05,CUUR0000SEMD01,医院服务,Hospital services,152.2,M05,
2004-06,CUUR0000SEMD01,医院服务,Hospital services,153.0,M06,
2004-07,CUUR0000SEMD01,医院服务,Hospital services,153.8,M07,
2004-08,CUUR0000SEMD01,医院服务,Hospital services,153.7,M08,
2004-09,CUUR0000SEMD01,医院服务,Hospital services,154.2,M09,
2004-10,CUUR0000SEMD01,医院服务,Hospital services,155.1,M10,
2004-11,CUUR0000SEMD01,医院服务,Hospital services,156.0,M11,
2004-12,CUUR0000SEMD01,医院服务,Hospital services,157.1,M12,
2005-01,CUUR0000SEMD01,医院服务,Hospital services,158.3,M01,
2005-02,CUUR0000SEMD01,医院服务,Hospital services,159.7,M02,
2005-03,CUUR0000SEMD01,医院服务,Hospital services,160.6,M03,
2005-04,CUUR0000SEMD01,医院服务,Hospital services,160.6,M04,
2005-05,CUUR0000SEMD01,医院服务,Hospital services,160.6,M05,
2005-06,CUUR0000SEMD01,医院服务,Hospital services,160.8,M06,
2005-07,CUUR0000SEMD01,医院服务,Hospital services,162.0,M07,
2005-08,CUUR0000SEMD01,医院服务,Hospital services,161.4,M08,
2005-09,CUUR0000SEMD01,医院服务,Hospital services,161.5,M09,
2005-10,CUUR0000SEMD01,医院服务,Hospital services,162.9,M10,
2005-11,CUUR0000SEMD01,医院服务,Hospital services,165.2,M11,
2005-12,CUUR0000SEMD01,医院服务,Hospital services,165.2,M12,
2006-01,CUUR0000SEMD01,医院服务,Hospital services,166.7,M01,
2006-02,CUUR0000SEMD01,医院服务,Hospital services,169.3,M02,
2006-03,CUUR0000SEMD01,医院服务,Hospital services,170.4,M03,
2006-04,CUUR0000SEMD01,医院服务,Hospital services,170.9,M04,
2006-05,CUUR0000SEMD01,医院服务,Hospital services,171.4,M05,
