series_id,中文品类名,BLS_item_title,H1分组,ELI代码,ELI标题,UCC码,UCC数,CE来源,映射依据,备注
CUUR0000SEAA01,男西装与外套,"Men's suits, sport coats, and outerwear",R,AA011;AA012;AA013,AA011=Mens Suits | AA012=Mens Sportcoats/Tailored Jackets | AA013=Mens Coats And Jackets,360110;360120;360210,3,I;D;D,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEAA02,男内衣/睡衣/泳装及配饰,"Men's underwear, nightwear, swimwear and accessories",R,AA021;AA022,"AA021=Mens Underwear,Hosiery,Nightwear | AA022=Mens Accessories",360319;360330,2,D;D,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEAA03,男衬衫与毛衣,Men's shirts and sweaters,R,AA033,AA033=Mens Sweaters/Shirts/Vests,360420,1,D,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEAA04,男裤与短裤,Men's pants and shorts,R,AA041,AA041=Mens Pants And Shorts,360513,1,D,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEAC01,女外套,Women's outerwear,R,AC011,AC011=Womens Coats And Jackets,380110,1,D,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEAC02,女连衣裙,Women's dresses,R,AC021,AC021=Womens Dresses,380210,1,D,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEAC03,女套装与单件,Women's suits and separates,R,AC033;AC031;AC032,AC033=Womens Suits | AC031=Womens Tops | AC032=Womens Skirts/Pants/Shorts,380510;380319;380339,3,D;D;D,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEAC04,女内衣/睡衣/泳装及配饰,"Women's underwear, nightwear, swimwear and accessories",R,AC041;AC042,AC041=Womens Undergarments/Nightwear | AC042=Womens Hosiery And Accessories,380429;380430;380901,3,D;D;D,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEAF,婴幼儿服装,Infants' and toddlers' apparel,R,AF011;AF012,AF011=Infants/Toddlers Outer/Play/Dress/Sleep | AF012=Infants Underwear/Diapers,410119;410130,2,D;D,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
CUUR0000SEAB,童男装,Boys' apparel,R,AB011;AB012;AB013;AB014,AB011=Boys Coats And Jackets | AB012=Boys Sweaters/Shirts/Vests | AB013=Boys Underwear/Nightwear/Hosiery | AB014=Boys Suits/Sport Coats/Pants,370110;370125;370219;370220;370319,5,D;D;D;D;D,BLS CPI Handbook of Methods Appendix 5: CE UCC to CPI ELI Concordance（2024年度支出权重，2026-01起生效）,
