series_id,中文品类名,H1分组,NAICS代码,NAICS行业名,映射层级,映射依据,映射置信度,BLS_IP_数据可用性,备注
CUUR0000SEMD01,医院服务,N,622,医院,3位,医院服务直接对应 NAICS 622,高,待验证,服务业——BLS IP 对医院生产率覆盖有限
CUUR0000SEEB01,大学学费,N,6113,大学/专上与职业学校,4位,高等教育学费直接对应,高,待验证,服务业——BLS IP 对教育覆盖有限
CUUR0000SAM2,医疗护理服务,N,62,医疗保健与社会救助,2位,聚合层对应整个医疗大类,高,待验证,聚合层——细项可拆 621 门诊/622 医院
CUUR0000SEEB03,托儿照护,N,6244,托儿服务,4位,日托与学前教育直接对应,高,待验证,服务业
CUUR0000SEHC01,住房（位置性）,N,531,房地产,3位,OER 为归属租金——无直接生产行业、借道房地产,中,待验证,归属租金（imputed rent）无 NAICS 生产对应
CUUR0000SEHA,主要住所租金,N,5311,出租房产,4位,租金服务直接对应,高,待验证,服务业
CUUR0000SEHD,租户与家庭保险,N,524,保险承保及相关活动,3位,保险直接对应,高,待验证,金融服务业——BLS IP 覆盖弱
CUUR0000SERB02,宠物服务（含兽医）,N,54194,兽医服务,5位,兽医/宠物照护直接对应,高,待验证,服务业——可能无 IP 数据
CUUR0000SERF01,俱乐部会费/参与费,N,71394,健身与休闲俱乐部,5位,俱乐部参与费主要对应休闲俱乐部,中,待验证,混合——另含购物俱乐部/会员组织(NAICS 813)成分
CUUR0000SERF02,门票,N,71,艺术/娱乐/休闲,2位,现场演出赛事门票对应娱乐休闲大类,中,待验证,聚合层
CUUR0000SERF03,课程与指导费,N,6116,其他学校与指导,4位,兴趣班/技能指导直接对应,中,待验证,服务业
CUUR0000SETE,机动车保险,N,524,保险承保及相关活动,3位,车险直接对应,高,待验证,金融服务业
CUUR0000SETG02,其他城际交通,N,485,城际客运,3位,城际巴士/火车/船运对应,高,待验证,服务业
CUUR0000SEGC01,理发及其他个人护理服务,N,8121,个人护理服务,4位,理发/美容直接对应,高,待验证,服务业——可能无 IP 数据
CUUR0000SEGD01,法律服务,N,5411,法律服务,4位,直接对应,高,待验证,专业服务业——BLS IP 覆盖弱/无
CUUR0000SEGD02,殡葬服务,N,8122,殡葬服务,4位,直接对应,高,待验证,服务业——可能无 IP 数据
CUUR0000SEGD03,洗衣与干洗服务,N,8123,干洗与洗衣服务,4位,直接对应,高,待验证,服务业
