series_id,中文品类名,H1分组,NAICS代码,NAICS行业名,BLS系列ID,口径来源,数据起始年,起始指数,数据末年,末年指数,年化增长率_pct,数据可用性,备注
CUUR0000SEMD01,医院服务,N,622,医院,,,,,,,,无 BLS 数据,BLS MFP 主要行业无该 NAICS 的劳动生产率数据
CUUR0000SEEB01,大学学费,N,6113,大学/专上与职业学校,,,,,,,,无 BLS 数据,BLS MFP 主要行业无该 NAICS 的劳动生产率数据
CUUR0000SAM2,医疗护理服务,N,62,医疗保健与社会救助,,,,,,,,无 BLS 数据,BLS MFP 主要行业无该 NAICS 的劳动生产率数据
CUUR0000SEEB03,托儿照护,N,6244,托儿服务,,,,,,,,无 BLS 数据,BLS MFP 主要行业无该 NAICS 的劳动生产率数据
CUUR0000SEHC01,住房（位置性）,N,531,房地产,,,,,,,,无 BLS 数据,BLS MFP 主要行业无该 NAICS 的劳动生产率数据
CUUR0000SEHA,主要住所租金,N,5311,出租房产,,,,,,,,无 BLS 数据,BLS MFP 主要行业无该 NAICS 的劳动生产率数据
CUUR0000SEHD,租户与家庭保险,N,524,保险承保及相关活动,,,,,,,,无 BLS 数据,BLS MFP 主要行业无该 NAICS 的劳动生产率数据
CUUR0000SERB02,宠物服务（含兽医）,N,54194,兽医服务,,,,,,,,无 BLS 数据,BLS MFP 主要行业无该 NAICS 的劳动生产率数据
CUUR0000SERF01,俱乐部会费/参与费,N,71394,健身与休闲俱乐部,,,,,,,,无 BLS 数据,BLS MFP 主要行业无该 NAICS 的劳动生产率数据
CUUR0000SERF02,门票,N,71,艺术/娱乐/休闲,,,,,,,,无 BLS 数据,BLS MFP 主要行业无该 NAICS 的劳动生产率数据
CUUR0000SERF03,课程与指导费,N,6116,其他学校与指导,,,,,,,,无 BLS 数据,BLS MFP 主要行业无该 NAICS 的劳动生产率数据
CUUR0000SETE,机动车保险,N,524,保险承保及相关活动,,,,,,,,无 BLS 数据,BLS MFP 主要行业无该 NAICS 的劳动生产率数据
CUUR0000SETG02,其他城际交通,N,485,城际客运,,,,,,,,无 BLS 数据,BLS MFP 主要行业无该 NAICS 的劳动生产率数据
CUUR0000SEGC01,理发及其他个人护理服务,N,8121,个人护理服务,,,,,,,,无 BLS 数据,BLS MFP 主要行业无该 NAICS 的劳动生产率数据
CUUR0000SEGD01,法律服务,N,5411,法律服务,,,,,,,,无 BLS 数据,BLS MFP 主要行业无该 NAICS 的劳动生产率数据
CUUR0000SEGD02,殡葬服务,N,8122,殡葬服务,,,,,,,,无 BLS 数据,BLS MFP 主要行业无该 NAICS 的劳动生产率数据
CUUR0000SEGD03,洗衣与干洗服务,N,8123,干洗与洗衣服务,,,,,,,,无 BLS 数据,BLS MFP 主要行业无该 NAICS 的劳动生产率数据
CUUR0000SEGD04,服装修补与其他服装服务,N,81149,其他个人与家庭物品维修,,,,,,,,无 BLS 数据,BLS MFP 主要行业无该 NAICS 的劳动生产率数据
CUUR0000SEGD05,金融服务,N,52,金融与保险,,,,,,,,无 BLS 数据,BLS MFP 主要行业无该 NAICS 的劳动生产率数据
CUUR0000SETD01,机动车车身修理,N,8111,汽车修理与维护,,,,,,,,无 BLS 数据,BLS MFP 主要行业无该 NAICS 的劳动生产率数据
CUUR0000SETD02,机动车维护保养,N,8111,汽车修理与维护,,,,,,,,无 BLS 数据,BLS MFP 主要行业无该 NAICS 的劳动生产率数据
CUUR0000SETD03,机动车维修,N,8111,汽车修理与维护,,,,,,,,无 BLS 数据,BLS MFP 主要行业无该 NAICS 的劳动生产率数据
CUUR0000SEED03,手机通信服务,R,517,电信,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SEEE02,电脑软件,R,5112,软件出版,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SERE01,玩具,R,33993,玩具/游戏/洋娃娃制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SERA01,电视机,R,3343,音频与视频设备制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SEAF,婴幼儿服装,R,315,服装制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SEAB,童男装,R,315,服装制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SEAD,童女装,R,315,服装制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SEAE01,男鞋,R,3162,鞋类制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SEAE02,童鞋,R,3162,鞋类制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SEAE03,女鞋,R,3162,鞋类制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SERA03,其他视频设备,R,3343,音频与视频设备制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SERA04,视频购买/订阅/租赁,R,5121,影视行业,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SERA05,音频设备,R,3343,音频与视频设备制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SERA06,录制音乐与订阅,R,5122,录音行业,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SERC01,运动车辆（含自行车）,R,33699,其他运输设备制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SERC02,运动装备,R,33992,体育用品制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SERD01,摄影器材,R,33331,商业与服务行业机械制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SERE02,缝纫机/布料/辅料,R,313,纺织厂,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SERE03,乐器及配件,R,33999,其他杂项制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SERG02,娱乐书籍,R,51113,书籍出版,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
CUUR0000SEAA01,男西装与外套,R,315,服装制造,,,,,,,,无 BLS 数据,BLS IP 无该 NAICS 行业的劳动生产率数据（制造业细分层级未发布/服务业无 IP 覆盖）
